geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2017428,Театар „Дес”,позориште,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ТОШИН БУНАР,153,4.8,10,0,10,44.82398,20.39861
SRBRGI2018146,Приватна ветеринарска амбуланта за кућне љубимце „ВетАлфа“,објекат ветерине,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БОРЧА,ВАЉЕВСКОГ ОДРЕДА,29,0.5,10,0,10,44.878921,20.456326
SRBRGI2018207,Приватна ветеринарска амбуланта „VET-MEDIC“,објекат ветерине,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),СЛАВКА МИЉКОВИЋА,86,0.1,10,0,10,44.712402,20.456693
SRBRGI2000188,Манастир Раиновац,манастир,stambeno-moguce,ГРОЦКА,БЕГАЉИЦА,БУЛЕВАР РЕВОЛУЦИЈЕ,54,2.6,9,0,9,44.624849,20.71343
SRBRGI2001917,Позориште Бошко Буха,позориште,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ТРГ РЕПУБЛИКЕ,3,7.4,9,0,9,44.816294,20.459563
SRBRGI2002034,Кућа породице Карамата,споменик културе,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),КАРАМАТИНА,17,4.5,9,0,9,44.846746,20.411692
SRBRGI2002102,Родна кућа Јована Стерије Поповића,споменик културе,nestambeno,ВРШАЦ,ВРШАЦ,ТРГ СВЕТОГ ТЕОДОРА ВРШАЧКОГ,11,5.6,9,0,9,45.120477,21.295249
SRBRGI2002405,Апотекарска установа – Вршац,апотека,nestambeno,ВРШАЦ,ВРШАЦ,АБРАШЕВИЋЕВА,32,7.6,9,0,9,45.120978,21.305944
SRBRGI2002602,Антидопинг агенција Републике Србије,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ТРГ РЕПУБЛИКЕ,3,11.0,9,0,9,44.816264,20.45958
SRBRGI2002858,Месна заједница Западни Врачар,месна заједница,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),СВЕТОЗАРА МАРКОВИЋА,79,5.2,9,0,9,44.801693,20.462261
SRBRGI2002923,Удружење композитора Србије,јавни објекат,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),МИШАРСКА,12,6.4,9,0,9,44.806348,20.466329
SRBRGI2002955,Продајна галерија „Београд”,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),КОСАНЧИЋЕВ ВЕНАЦ,19,4.0,9,0,9,44.816229,20.451331
SRBRGI2003850,Центар за социјални рад – Апатин,објекат социјалне заштите,stambeno-moguce,АПАТИН,АПАТИН,СВЕТОЗАРА МИЛЕТИЋА,6,2.0,9,0,9,45.672243,18.981814
SRBRGI2003851,Установа за одрасле и старије – Апатин,дом за старе,stambeno-moguce,АПАТИН,АПАТИН,БЕОГРАДСКА,1,4.0,9,0,9,45.678453,18.976799
SRBRGI2003875,Месна заједница Браће Јерковић,месна заједница,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),МЕШТРОВИЋЕВА,34,4.0,9,0,9,44.769475,20.490955
SRBRGI2004591,Дом здравља Алибунар,дом здравља,nestambeno,АЛИБУНАР,АЛИБУНАР,ТРГ СЛОБОДЕ,8,10.9,9,0,9,45.07974,20.968171
SRBRGI2004955,Музичка школа „Јосиф Маринковић”,средња школа,nestambeno,ВРШАЦ,ВРШАЦ,ТРГ ПОБЕДЕ,4,12.5,9,0,9,45.119913,21.298549
SRBRGI2006948,Основна школа „Алекса Шантић”,основна школа,nestambeno,ГРОЦКА,КАЛУЂЕРИЦА,РАДИСАВА ИГЊАТОВИЋА,1,3.0,9,0,9,44.7556,20.552666
SRBRGI2006950,Основна школа „Никола Тесла”,основна школа,nestambeno,ГРОЦКА,БОЛЕЧ,ЈАНКА ГАГИЋА,1,4.6,9,0,9,44.727709,20.604183
SRBRGI2009939,Центар за социјални рад – Кучево,објекат социјалне заштите,stambeno-moguce,КУЧЕВО,КУЧЕВО,СВЕТОГ САВЕ,213,2.0,9,0,9,44.476867,21.673188
SRBRGI2010635,Кућа Афродите Биало,споменик културе,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ГЛАВНА,45,1.9,9,0,9,44.845735,20.409599
SRBRGI2010721,Кућа Јована Скерлића,споменик културе,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ГОСПОДАР-ЈОВАНОВА,42,1.5,9,0,9,44.820232,20.461812
SRBRGI2010807,Кућа Бете и Ристе Вукановића,споменик културе,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),КАПЕТАН-МИШИНА,13,9.7,9,0,9,44.821156,20.460763
SRBRGI2011004,Пословно-стамбена зграда Петра Јанковића,споменик културе,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),НИКОДИМА МИЛАША,7,10.1,9,0,9,44.809484,20.482741
SRBRGI2011085,Кућа др Саве Недељковића,споменик културе,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ЦАРА ДУШАНА,41,4.2,9,0,9,44.848648,20.403676
SRBRGI2012585,Центар за социјални рад „Дунав”,објекат социјалне заштите,stambeno-moguce,ИНЂИЈА,ИНЂИЈА,ВОЈВОДЕ СТЕПЕ,40Б,4.3,9,0,9,45.051413,20.087354
SRBRGI2012937,Туристичка организација Горњи Милановац,јавни објекат,nestambeno,ГОРЊИ МИЛАНОВАЦ,ГОРЊИ МИЛАНОВАЦ,КАРАЂОРЂЕВА,3,4.6,9,0,9,44.023781,20.458465
SRBRGI2013082,Вртић „Сунцокрет 2”,предшколска установа,nestambeno,ЛАЗАРЕВАЦ,ВЕЛИКИ ЦРЉЕНИ,НАСЕЉЕ ТЕРМОЕЛЕКТРАНЕ,14,14.9,9,0,9,44.474959,20.29133
SRBRGI2013137,Вртић „Мала фабрика маште”,предшколска установа,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),ТОПОЛСКА,9,10.5,9,0,9,44.800229,20.477377
SRBRGI2013416,Вртић „Чудесно царство”,предшколска установа,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ЦАРА ДУШАНА,98,5.0,9,0,9,44.851031,20.398007
SRBRGI2013517,Вртић „Кућа малих стопала”,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ДВАДЕСЕТПРВЕ ДИВИЗИЈЕ,30,4.4,9,0,9,44.802214,20.494271
