geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2014333,Предшколска установа „Десанка Максимовић”,предшколска установа,nestambeno,ЖИТИШТЕ,БАНАТСКО КАРАЂОРЂЕВО,СОЛУНСКИХ ДОБРОВОЉАЦА,21,9.5,3,0,3,45.588389,20.561911
SRBRGI2014447,Предшколска установа „Сеница”,предшколска установа,nestambeno,АРАНЂЕЛОВАЦ,АРАНЂЕЛОВАЦ,ВОЖДА КАРАЂОРЂА,17,2.9,3,0,3,44.312482,20.553045
SRBRGI2014496,Дом за смештај одраслих и старијих „Milagro Casa”,дом за старе,stambeno-moguce,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),МИТЕ РУЖИЋА,29А,2.8,3,0,3,44.794152,20.516644
SRBRGI2014499,Дом за смештај одраслих и старијих „Paulovnia Tomentosa”,дом за старе,stambeno-moguce,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),МАГЕ МАГАЗИНОВИЋ,28,5.6,3,0,3,44.779169,20.518697
SRBRGI2014513,Дом за старије особе „Луг”,дом за старе,stambeno-moguce,МЛАДЕНОВАЦ,КОВАЧЕВАЦ,БРЕСТОВАЧКА,29,11.7,3,0,3,44.412004,20.72312
SRBRGI2014555,Дом за старе „Стара Бежанија”,дом за старе,stambeno-moguce,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ВЕЗИЉСКА,21,2.3,3,0,3,44.803665,20.360045
SRBRGI2014566,Дом за смештај одраслих и старијих „Дионис & Деметра”,дом за старе,stambeno-moguce,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БОЖЕ ЈАНКОВИЋА,32,3.7,3,0,3,44.783016,20.473599
SRBRGI2014595,Дом за стара лица „Вила Ружин дом”,дом за старе,stambeno-moguce,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),СЛОБОДАНА ЈОВИЋА,22,5.9,3,0,3,44.746872,20.48845
SRBRGI2014610,Установа за смештај старијих лица „Моја оаза”,дом за старе,stambeno-moguce,ЗЕМУН,БЕОГРАД (ЗЕМУН),ХЕРЦЕГОВАЧКА,13,3.8,3,0,3,44.840324,20.384336
SRBRGI2014619,Дневни боравак за децу ометену у развоју „Вождовац”,објекат социјалне заштите,stambeno-moguce,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БУЛЕВАР ЈНА,4,4.3,3,0,3,44.750301,20.479233
SRBRGI2014641,Дом за смештај старијих лица „Бонаца”,дом за старе,stambeno-moguce,ЗЕМУН,БЕОГРАД (ЗЕМУН),СРЕМСКА,15,8.7,3,0,3,44.848789,20.383987
SRBRGI2014665,Дом за стара лица „Sweet Home”,дом за старе,stambeno-moguce,СУБОТИЦА,СУБОТИЦА,ЈОСИПА ЕУГЕНА ТОМИЋА,9,5.4,3,0,3,46.095407,19.681805
SRBRGI2014694,Дом за стара лица „Villa Ancora 1”,дом за старе,stambeno-moguce,СУБОТИЦА,СУБОТИЦА,1. УСТАНКА,31,4.5,3,0,3,46.095164,19.687845
SRBRGI2014698,Дом за стара лица „Пушин”,дом за старе,stambeno-moguce,СУБОТИЦА,СУБОТИЦА,БРАЋЕ МАЈЕРА,31,5.6,3,0,3,46.102382,19.653008
SRBRGI2014737,Становање уз подршку удружења „Плава птица”,објекат социјалне заштите,stambeno-moguce,КУЛА,КУЛА,ИВЕ АНДРИЋА,54,7.3,3,0,3,45.610566,19.512232
SRBRGI2014761,Дом за старе „Петлово брдо – Holiday house”,дом за старе,stambeno-moguce,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),БОЖЕ БАУЦАЛА,17,5.7,3,0,3,44.721655,20.423056
SRBRGI2014784,Дом за смештај одраслих и старијих „Вера 035”,дом за старе,stambeno-moguce,ЈАГОДИНА,ВОЉАВЧЕ,МИЛАНА РАДЕНКОВИЋА,2,0.1,3,0,3,43.986552,21.230466
SRBRGI2014802,Дневни боравак за децу и младе при удружењу грађана „Кокоро”,објекат социјалне заштите,stambeno-moguce,БОР,БОР,САВЕ КОВАЧЕВИЋА,15,8.0,3,0,3,44.055164,22.109176
SRBRGI2014805,Дом за смештај одраслих и старијих „Адам плус”,дом за старе,stambeno-moguce,КОВАЧИЦА,КОВАЧИЦА,ЈНА,105,2.7,3,0,3,45.107633,20.619873
SRBRGI2014840,Центар за социјални рад – Ивањица,објекат социјалне заштите,stambeno-moguce,ИВАЊИЦА,ИВАЊИЦА,ВУКАДИНА СТОЈАНОВИЋА,6,2.2,3,0,3,43.579636,20.229735
SRBRGI2015092,Дом здравља „Др Милутин Ивковић” – амбуланта Бесни Фок,амбуланта,nestambeno,ПАЛИЛУЛА (БЕОГРАД),ПАДИНСКА СКЕЛА,БЕСНИ ФОК,35,0.2,3,0,3,44.999164,20.405386
SRBRGI2015096,"Дом здравља „Др Милутин Ивковић” – амбуланта „Партизански пут""",амбуланта,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЧАРЛИЈА ЧАПЛИНА,18,2.7,3,0,3,44.816215,20.47912
SRBRGI2015129,Дом здравља Савски венац – школско одељење,амбуланта,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ВОЈВОДЕ МИЛЕНКА,35,6.9,3,0,3,44.802084,20.460793
SRBRGI2015237,Дом здравља Ковачица – амбуланта Дебељача,амбуланта,nestambeno,КОВАЧИЦА,ДЕБЕЉАЧА,СЕРВО МИХАЉА,37,9.2,3,0,3,45.069432,20.598663
SRBRGI2015278,Дом здравља Богатић – здравствена станица Црна Бара,амбуланта,nestambeno,БОГАТИЋ,ЦРНА БАРА,ВОЈИСЛАВА ЛУКИЋА,1,6.0,3,0,3,44.876662,19.395811
SRBRGI2015379,Дом здравља „Др Милан – Бане Ђорђевић” – амбуланта Старо Село,амбуланта,nestambeno,ВЕЛИКА ПЛАНА,СТАРО СЕЛО,БУЛЕВАР ОСЛОБОЂЕЊА,19,8.4,3,0,3,44.292346,21.101796
SRBRGI2015840,Дом здравља „Др Миленко Марин” – здравствена станица Бања Ковиљача,амбуланта,nestambeno,ЛОЗНИЦА,БАЊА КОВИЉАЧА,МАРШАЛА ТИТА,118,10.4,3,0,3,44.515175,19.155049
SRBRGI2015849,Дом здравља „Evelina Haverfild” – здравствена станица Костојевићи,амбуланта,nestambeno,БАЈИНА БАШТА,КОСТОЈЕВИЋИ,КОСТОЈЕВИЋИ,72,1.1,3,0,3,44.008421,19.688349
SRBRGI2016059,Дом здравља Велико Градиште – амбуланта Средњево,амбуланта,nestambeno,ВЕЛИКО ГРАДИШТЕ,СРЕДЊЕВО,ПАЛИХ БОРАЦА СРЕДЊЕВА,1,2.7,3,0,3,44.645281,21.494598
SRBRGI2016125,Дом здравља Вршац – амбуланта Велико Средиште,амбуланта,nestambeno,ВРШАЦ,ВЕЛИКО СРЕДИШТЕ,СТЕРИЈИНА,12,0.3,3,0,3,45.178625,21.40265
SRBRGI2016227,Дом здравља Вршац – амбуланта Месић,амбуланта,nestambeno,ВРШАЦ,МЕСИЋ,ВОЈВОЂАНСКА,55,2.6,3,0,3,45.10575,21.400869
SRBRGI2016429,Локална пореска администрација Мали Иђош,локална пореска администрација,nestambeno,МАЛИ ИЂОШ,МАЛИ ИЂОШ,ГЛАВНА,32,5.9,3,0,3,45.706791,19.665457
SRBRGI2016458,Локална пореска администрација Обреновац,локална пореска администрација,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,ВОЈВОДЕ МИШИЋА,195,0.0,3,0,3,44.653532,20.19924
SRBRGI2016506,Локална пореска администрација Блаце,локална пореска администрација,nestambeno,БЛАЦЕ,БЛАЦЕ,КАРАЂОРЂЕВА,4,0.0,3,0,3,43.295862,21.285451
SRBRGI2016917,„Топико“,индустрија меса,nestambeno,БАЧКА ТОПОЛА,БАЧКА ТОПОЛА,ПЕТЕФИ БРИГАДЕ,2,9.3,3,0,3,45.812786,19.62933
SRBRGI2016829,Самостална занатско-трговинска радња „Месара Сека”,индустрија меса,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),СЕРВАНТЕСОВА,5,4.3,3,0,3,44.849982,20.365414
SRBRGI2017185,Народна библиотека „Лаза Костић“,библиотека,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),ТУРГЕЊЕВА,5,0.8,3,0,3,44.783609,20.417223
SRBRGI2017238,Биоскоп - Центар за културу и образовање општине Аранђеловац,биоскоп,nestambeno,АРАНЂЕЛОВАЦ,АРАНЂЕЛОВАЦ,КЊАЗА МИЛОША,293,2.1,3,0,3,44.307555,20.5574
SRBRGI2016595,Млекара „Лод-дис БТИ”,млекара,nestambeno,ПАЛИЛУЛА (БЕОГРАД),ПАДИНСКА СКЕЛА,РИСТЕ ОДАВИЋА,3,3.3,3,0,3,44.939612,20.429602
SRBRGI2016598,Млекара „Млекопром”,млекара,nestambeno,ПАЛИЛУЛА (БЕОГРАД),ОВЧА,ПРВОГ МАЈА,85,0.2,3,0,3,44.887306,20.537312
SRBRGI2016616,Млекара „Тиквара”,млекара,nestambeno,БАЧКА ПАЛАНКА,БАЧКА ПАЛАНКА,ВЕЉКА ВЛАХОВИЋА,8,10.2,3,0,3,45.250456,19.379902
SRBRGI2017352,Легат Роберта Ц. Гашпаровића,музеј,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ПЕРСИДЕ МИЛЕНКОВИЋ,12,3.0,3,0,3,44.791697,20.438674
SRBRGI2017451,Приватна ветеринарска станица „Сондавет“,објекат ветерине,nestambeno,БЕЧЕЈ,БЕЧЕЈ,ТАНЧИЋ МИХАЉА,46,1.5,3,0,3,45.6083,20.030028
SRBRGI2017476,Приватна ветеринарска амбуланта за кућне љубимце „Номовет“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,210,0.2,3,0,3,44.772571,20.477153
SRBRGI2017491,Приватна ветеринарска амбуланта „Жељко Гатић ПР ГЗХ“,објекат ветерине,nestambeno,БОГАТИЋ,КЛЕЊЕ,ДРИНСКА,48,0.2,3,0,3,44.805024,19.428356
SRBRGI2017586,Ветеринарска амбуланта „Слобода“,објекат ветерине,nestambeno,БАРАЈЕВО,ГУНЦАТИ,СЛОБОДАНА ПЕНЕЗИЋА-КРЦУНА,52А,0.1,3,0,3,44.607499,20.402274
SRBRGI2017601,Приватна ветеринарска станица „М.Б.КОЉА ВЕТ“,објекат ветерине,nestambeno,ИНЂИЈА,ЉУКОВО,ПЕТРА КОЧИЋА,14,0.5,3,0,3,45.026454,20.028386
SRBRGI2017499,Приватна ветеринарска амбуланта „МиВет“,објекат ветерине,nestambeno,БОГАТИЋ,ГЛУШЦИ,ЦВЕТИНА БРКИЋА,134,1.0,3,0,3,44.889284,19.566593
SRBRGI2017502,Приватна ветеринарска станица „Него Вет“,објекат ветерине,nestambeno,БОЈНИК,БОЈНИК,17.ФЕБРУАРА,41,3.0,3,0,3,43.014912,21.716506
SRBRGI2017535,Приватна ветеринарска амбуланта за кућне љубимце „Гвозденовић“,објекат ветерине,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),ЖАРКОВАЧКА,44,0.2,3,0,3,44.767197,20.418643
SRBRGI2017545,Приватна ветеринарска амбуланта „ПРЕ-ВЕТ“,објекат ветерине,nestambeno,ЧУКАРИЦА,РУШАЊ,ТРИНАЕСТОГ СЕПТЕМБРА,50,0.2,3,0,3,44.681142,20.442664
SRBRGI2017551,Приватна ветеринарска амбуланта „Deep Vet“,објекат ветерине,nestambeno,ДИМИТРОВГРАД,ДИМИТРОВГРАД,СВЕТОСАВСКА,23,2.8,3,0,3,43.018878,22.787729
SRBRGI2017559,Приватна ветеринарска амбуланта „Мали змај“,објекат ветерине,nestambeno,АЛИБУНАР,СЕЛЕУШ,САВЕ КОВАЧЕВИЋА,26,0.3,3,0,3,45.122996,20.902709
SRBRGI2017633,Јавна ветеринарска станица „Ковин“,објекат ветерине,nestambeno,КОВИН,СКОРЕНОВАЦ,МАРШАЛА ТИТА,37,2.9,3,0,3,44.760333,20.897548
SRBRGI2017661,Приватна ветеринарска станица „ДЕЈАН-ВЕТ“,објекат ветерине,nestambeno,КРУПАЊ,КРУПАЊ,ВЛАДЕ ЗЕЧЕВИЋА,80,0.6,3,0,3,44.365178,19.36987
SRBRGI2018534,Христова Јеванђеоска црква,црква,nestambeno,АПАТИН,АПАТИН,ОМЛАДИНСКА,14,2.1,3,0,3,45.648434,18.972061
SRBRGI2017788,Приватна ветеринарска станица „Сремац-Вет“,објекат ветерине,nestambeno,СУРЧИН,ДОБАНОВЦИ,МАРШАЛА ТИТА,27,2.7,3,0,3,44.825225,20.224996
SRBRGI2017790,Приватна ветеринарска станица „Видра-вет“,објекат ветерине,nestambeno,СУРЧИН,СУРЧИН,ВОЈВОЂАНСКА,228,0.7,3,0,3,44.793132,20.284195
SRBRGI2017834,Ветеринарска станица „Хомоље-вет“,објекат ветерине,nestambeno,ЖАГУБИЦА,ЖАГУБИЦА,ХОМОЉСКА,51,0.7,3,0,3,44.199953,21.780133
SRBRGI2017849,Приватна ветеринарска амбуланта „Бела линија“,објекат ветерине,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ВЛАДИМИРА НИКОЛИЋА,19,0.6,3,0,3,44.836921,20.397056
SRBRGI2017861,Приватна ветеринарска амбуланта „Alessandra“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ВАРОВНИЧКА,6,3.4,3,0,3,44.801651,20.497937
SRBRGI2017863,Приватна ветеринарска амбуланта „Ветпротект“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),МИТЕ РУЖИЋА,9,0.1,3,0,3,44.791564,20.514446
SRBRGI2017867,Приватна ветеринарска станица „ВЕГЕ-ВЕТ“,објекат ветерине,nestambeno,ВЕЛИКО ГРАДИШТЕ,ВЕЛИКО ГРАДИШТЕ,СВЕТОСАВСКА,41,0.7,3,0,3,44.762435,21.51755
SRBRGI2017874,Приватна ветеринарска амбуланта за кућне љубимце „Pet N Vet“,објекат ветерине,nestambeno,ВРАЊЕ,ВРАЊЕ,ЈОВАНА ЈАНКОВИЋА ЛУНГЕ,18,0.1,3,0,3,42.549393,21.90299
SRBRGI2017875,Приватна ветеринарска амбуланта „Колошњаи“,објекат ветерине,nestambeno,ВРБАС,ВРБАС,ДРВАРСКА,8,0.1,3,0,3,45.570082,19.664928
SRBRGI2017878,Ветеринарска станица „Тривет-05“,објекат ветерине,nestambeno,ВРБАС,КУЦУРА,ИВЕ ЛОЛЕ РИБАРА,76,4.1,3,0,3,45.51813,19.588171
SRBRGI2017901,Приватна ветеринарска амбуланта „Кораћ Ветерина“,објекат ветерине,nestambeno,ЗРЕЊАНИН,ЗРЕЊАНИН,КУН БЕЛЕ,17,1.0,3,0,3,45.344807,20.404495
SRBRGI2017903,Приватна ветеринарска станица „Злаја“,објекат ветерине,nestambeno,ЗРЕЊАНИН,ЗРЕЊАНИН,УРОША ПРЕДИЋА,56,0.5,3,0,3,45.369866,20.408116
SRBRGI2017913,Приватна ветеринарска амбуланта за кућне љубимце „Дамбо“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ЉУБЕ ДАВИДОВИЋА,14,3.9,3,0,3,44.790737,20.504972
SRBRGI2018523,Христова Пентекостна црква,црква,nestambeno,АЛИБУНАР,НИКОЛИНЦИ,ВИНОГРАДАРСКА,51,14.2,3,0,3,45.054895,21.069756
SRBRGI2018626,Хришћанска Адвентистичка црква,црква,nestambeno,ВРШАЦ,ВРШАЦ,БРАНКА РАДИЧЕВИЋА,13,2.7,3,0,3,45.116192,21.294647
SRBRGI2018886,Црква Вазнесења Господњег,црква,nestambeno,БОГАТИЋ,УЗВЕЋЕ,ДРАГОМИРА ТАНАСИЋА,3,2.8,3,0,3,44.880067,19.603675
SRBRGI2019000,Кристова Пентекостна црква,црква,nestambeno,КУЛА,СИВАЦ,СВЕТОЗАРА МИЛЕТИЋА,111,2.5,3,0,3,45.697036,19.376896
SRBRGI2019194,Црква Рођења Пресвете Богородице,црква,nestambeno,ВЕЛИКО ГРАДИШТЕ,СИРАКОВО,ВЕЉКА ДУГОШЕВИЋА,47,1.0,3,0,3,44.667975,21.346532
SRBRGI2019200,Хришћанска Адвентистичка црква,црква,nestambeno,ВЕЛИКО ГРАДИШТЕ,ВЕЛИКО ГРАДИШТЕ,ПЕРЕ МЕТАЛЦА,11,12.7,3,0,3,44.764454,21.520788
SRBRGI2019202,Црква Свете Тројице,црква,nestambeno,ВЛАДИМИРЦИ,ЛОЈАНИЦЕ,ЦЕРСКА,24,1.8,3,0,3,44.630752,19.73043
SRBRGI2019241,Хришћанска Адвентистичка црква,црква,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),КРУЖНА,15,5.7,3,0,3,44.746701,20.503532
SRBRGI2019250,Црква Светих цара Константина и царице Јелене,црква,nestambeno,ВЛАДИМИРЦИ,ДЕБРЦ,БЕОГРАДСКИ ПУТ,289,2.2,3,0,3,44.623215,19.913852
SRBRGI2019284,Баптистичка црква,црква,nestambeno,КИКИНДА,КИКИНДА,ДОСИТЕЈЕВА,58,5.7,3,0,3,45.834212,20.470521
SRBRGI2019289,Хришћанска Адвентистичка црква,црква,nestambeno,КИКИНДА,КИКИНДА,СВЕТОЗАРА МИЛЕТИЋА,8,4.4,3,0,3,45.828589,20.46785
SRBRGI2019318,Црква Криста Краља,црква,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),КРУНСКА,23,13.4,3,0,3,44.807561,20.467305
SRBRGI2019930,Саборна црква Светог архангела Гаврила,црква,nestambeno,МИОНИЦА,ВРТИГЛАВ,ЦРКВЕНА,55,3.2,3,0,3,44.272396,20.112138
SRBRGI2019985,Манастир Денковац,манастир,stambeno-moguce,КРАГУЈЕВАЦ,ВЕЛИКЕ ПЧЕЛИЦЕ,ДЕНКОВАЧКА,56,5.7,3,0,3,43.887978,20.991219
SRBRGI2020169,Хришћанска Адвентистичка црква,црква,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),МАРИЧКА,19,4.9,3,0,3,44.743043,20.435761
SRBRGI2020243,Црква Светог Петра,црква,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),МАКЕДОНСКА,23,5.6,3,0,3,44.815755,20.463984
SRBRGI2020726,Црква Светих апостола Петра и Павла,црква,nestambeno,АРАНЂЕЛОВАЦ,АРАНЂЕЛОВАЦ,ЦАРА ДУШАНА,21В,7.8,3,0,3,44.313157,20.561545
SRBRGI2018448,Црква Светог пророка Илије,црква,nestambeno,БАЧКА ПАЛАНКА,МЛАДЕНОВО,КРАЉА ПЕТРА ПРВОГ,54,6.2,3,0,3,45.303884,19.260631
SRBRGI2019106,Хришћанска Адвентистичка црква,црква,nestambeno,ИНЂИЈА,КРЧЕДИН,ЦАРА ДУШАНА,130,0.8,3,0,3,45.140459,20.118056
SRBRGI2020090,Црква Покрова Пресвете Богородице,црква,nestambeno,ЛАЗАРЕВАЦ,ВРЕОЦИ,ВЕЛИМИРА СТЕПАНОВИЋА,62,11.8,3,0,3,44.433231,20.288013
SRBRGI2020093,Црква Светог пророка Илије,црква,nestambeno,МЛАДЕНОВАЦ,ЦРКВИНЕ,ДЕСПОТА СТЕФАНА ЛАЗАРЕВИЋА,47,2.5,3,0,3,44.392233,20.644086
SRBRGI2020110,Црква Вазнесења Господњег,црква,nestambeno,ОБРЕНОВАЦ,ДРЕН,ГОРЊИ КРАЈ,2,7.5,3,0,3,44.595959,20.031568
SRBRGI2000126,Економија Косанчић,индустријски или пословни објекат,nestambeno,ВРБАС,КОСАНЧИЋ,ХЕРОЈА ОТАЏБИНЕ,39,7.7,2,0,2,45.529886,19.455337
SRBRGI2000364,Универзитет у Београду,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СТУДЕНТСКИ ТРГ,1,4.5,2,0,2,44.818548,20.45768
SRBRGI2001684,Црква Успења Пресвете Богородице,црква,nestambeno,КОВАЧИЦА,ЦРЕПАЈА,ТРГ ОСЛОБОЂЕЊА,7,3.0,2,0,2,45.008865,20.637455
SRBRGI2001882,Машински факултет,факултет,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),КРАЉИЦЕ МАРИЈЕ,16,8.1,2,0,2,44.806831,20.477282
SRBRGI2001894,Партизанска база Центар,споменик културе,nestambeno,ВРБАС,ВРБАС,МИЛИВОЈА ЧОБАНСКОГ,126,1.5,2,0,2,45.56687,19.66695
SRBRGI2001929,Музеј примењене уметности,музеј,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ВУКА КАРАЏИЋА,18,7.0,2,0,2,44.817018,20.45459
SRBRGI2001941,Природњачки музеј,музеј,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),ЊЕГОШЕВА,51,3.3,2,0,2,44.802477,20.471183
SRBRGI2002008,Шеик Мустафино турбе,споменик културе,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ВИШЊИЋЕВА,1,1.6,2,0,2,44.820193,20.45817
SRBRGI2002010,Дом Јеврема Грујића,споменик културе,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СВЕТОГОРСКА,17,4.3,2,0,2,44.814209,20.467775
SRBRGI2002024,Железничка станица,споменик културе,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),САВСКИ ТРГ,2,10.2,2,0,2,44.808566,20.455682
SRBRGI2002062,Кућа Драгутина Влајинца,споменик културе,nestambeno,ВРАЊЕ,ВРАЊЕ,ГЕНЕРАЛА БЕЛИМАРКОВИЋА,4Б,2.3,2,0,2,42.550721,21.898082
SRBRGI2002064,Баба Златина улица,споменик културе,nestambeno,ВРАЊЕ,ВРАЊЕ,БАБА ЗЛАТИНА,11,11.8,2,0,2,42.549229,21.90079
SRBRGI2002164,Чардак,споменик културе,nestambeno,БЕОЧИН,СВИЛОШ,ФРУШКОГОРСКА,93,12.2,2,0,2,45.171856,19.587928
SRBRGI2002221,Дворац,споменик културе,nestambeno,ВРШАЦ,ВЛАЈКОВАЦ,ВРШАЧКА,58,2.5,2,0,2,45.07148,21.198363
SRBRGI2002375,Служба за катастар непокретности Бојник,државни органи,nestambeno,БОЈНИК,БОЈНИК,ТРГ СЛОБОДЕ,2,1.8,2,0,2,43.013212,21.720936
SRBRGI2002494,Железнички интегрални транспорт,јавни објекат,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),САВСКИ ТРГ,2,11.1,2,0,2,44.808484,20.455614
SRBRGI2002546,Национални савет словеначке националне мањине,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ТЕРАЗИЈЕ,3,6.5,2,0,2,44.814605,20.460596
SRBRGI2002586,Институт за испитивање материјала Србије „ИМС”,јавни објекат,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),БУЛЕВАР ВОЈВОДЕ МИШИЋА,43,5.1,2,0,2,44.794589,20.436336
SRBRGI2002717,Туристичка организација Београда,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ФРАНЦУСКА,24,2.8,2,0,2,44.81871,20.464578
SRBRGI2002798,Јавно предузеће Београдска тврђава,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ТЕРАЗИЈЕ,3,7.7,2,0,2,44.814596,20.460606
SRBRGI2002916,Завод за проучавање културног развитка,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),РИГЕ ОД ФЕРЕ,4,0.3,2,0,2,44.822917,20.456282
SRBRGI2002947,Центар београдских фестивала,јавни објекат,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ИЛИЈЕ ГАРАШАНИНА,24,6.3,2,0,2,44.810665,20.472293
SRBRGI2002957,Кућа легата,јавни објекат,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ИЛИЈЕ ГАРАШАНИНА,24,8.1,2,0,2,44.81065,20.472299
SRBRGI2002969,Центар дечјих летовалишта и опоравилишта града Београда,јавни објекат,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),РИСАНСКА,12,4.2,2,0,2,44.806335,20.455289
SRBRGI2003007,Месна заједница Старо сајмиште,месна заједница,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),БРОДАРСКА,1,3.4,2,0,2,44.81093,20.444529
SRBRGI2003039,Месна заједница Стара Карабурма,месна заједница,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),СИМЕ ШОЛАЈЕ,43,8.9,2,0,2,44.816145,20.501473
SRBRGI2003207,Савремена галерија уметничке колоније „Ечка”,јавни објекат,nestambeno,ЗРЕЊАНИН,ЗРЕЊАНИН,ТРГ СЛОБОДЕ,7,6.1,2,0,2,45.37988,20.390531
SRBRGI2003266,Месна заједница Мужља,месна заједница,nestambeno,ЗРЕЊАНИН,ЗРЕЊАНИН,МАЂАРСКЕ КОМУНЕ,59,0.8,2,0,2,45.341116,20.410951
SRBRGI2003273,Пољопривредни факултет,факултет,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),НЕМАЊИНА,6,2.7,2,0,2,44.840119,20.41238
SRBRGI2003352,Јавно предузеће Топловод Обреновац,јавни објекат,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,ЦАРА ЛАЗАРА,3,2.8,2,0,2,44.64844,20.189738
SRBRGI2003353,Јавно предузеће Вододвод и канализација Обреновац,јавни објекат,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,ЦАРА ЛАЗАРА,3,4.1,2,0,2,44.648431,20.189751
SRBRGI2003375,Месна заједница Јаково,месна заједница,nestambeno,СУРЧИН,ЈАКОВО,ПРОТЕ СТАМАТОВИЋА,11,2.0,2,0,2,44.753355,20.261135
SRBRGI2003475,Завичајни музеј – Алексинац,музеј,nestambeno,АЛЕКСИНАЦ,АЛЕКСИНАЧКИ РУДНИК,МОМЧИЛА ПОПОВИЋА,20,4.2,2,0,2,43.555716,21.692346
SRBRGI2003525,Јавно комунално предузеће Обреновац,јавни објекат,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,ЦАРА ЛАЗАРА,3,2.3,2,0,2,44.64846,20.189706
SRBRGI2003568,Пословни факултет у Ваљеву,факултет,nestambeno,ВАЉЕВО,ВАЉЕВО,ЖЕЛЕЗНИЧКА,8,2.6,2,0,2,44.273715,19.885574
SRBRGI2003590,Завод за заштиту споменика културе – Ваљево,јавни објекат,nestambeno,ВАЉЕВО,ВАЉЕВО,МИЛОВАНА ГЛИШИЋА,2,0.2,2,0,2,44.267491,19.881422
SRBRGI2003652,Кућа Ђуре Јакшића,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СКАДАРСКА,34,3.8,2,0,2,44.817635,20.464308
SRBRGI2003664,Месна заједница Бели Поток,месна заједница,nestambeno,ВОЖДОВАЦ,БЕЛИ ПОТОК,АВАЛСКА,2,14.0,2,0,2,44.705206,20.518749
